OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BV,2026-08-17T12:37:00.876576,14.44980932,.00284724,74.0463,137.0311,152.6759,24.3879,0,U,33828,999,91891,.18091008E-3,.607E-5,0
COSMOS 2251 DEB,1993-036BX,2026-08-17T02:32:58.218432,14.79510554,.00417177,74.0288,104.1810,163.8547,348.0320,0,U,33830,999,93127,.32726254E-3,.2448E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-08-17T14:36:30.913632,14.63506071,.00224569,74.0527,95.7626,68.3929,320.6107,0,U,33832,999,92048,.55272475E-3,.2846E-4,0
COSMOS 2251 DEB,1993-036CC,2026-08-17T14:10:39.318240,14.64216825,.00554415,74.0574,346.1561,334.7147,37.7256,0,U,33835,999,92415,.26078937E-3,.1372E-4,0
COSMOS 2251 DEB,1993-036CD,2026-08-17T05:07:36.596928,14.83739250,.00240298,73.9955,128.8079,271.2920,248.6224,0,U,33836,999,67754,.50701916E-3,.4182E-4,0
COSMOS 2251 DEB,1993-036CE,2026-08-17T05:30:57.008736,14.51150681,.0032863,74.0131,309.4567,110.7376,249.7312,0,U,33837,999,92385,.1055066E-3,.393E-5,0
COSMOS 2251 DEB,1993-036CF,2026-08-17T12:04:00.845184,14.48988840,.00260954,74.0359,45.5361,105.4989,287.6812,0,U,33838,999,92157,.17436062E-3,.636E-5,0
COSMOS 2251 DEB,1993-036CG,2026-08-17T14:29:45.612096,14.65009158,.00831407,74.0376,89.9321,139.8104,251.4654,0,U,33839,999,93209,.1121464E-3,.599E-5,0
COSMOS 2251 DEB,1993-036CJ,2026-08-16T23:38:05.278848,14.38144534,.00214672,74.0373,182.7001,209.9664,217.9793,0,U,33841,999,91668,.10308689E-3,.287E-5,0
COSMOS 2251 DEB,1993-036CK,2026-08-17T02:48:23.101920,14.43146630,.00467791,74.0331,120.2799,169.3684,190.8473,0,U,33842,999,91905,.12913578E-3,.412E-5,0
COSMOS 2251 DEB,1993-036CM,2026-08-17T06:47:03.849216,14.34234249,.00493009,74.0678,320.6203,282.2761,102.6593,0,U,33844,999,91274,.17078943E-3,.459E-5,0
COSMOS 2251 DEB,1993-036CR,2026-08-17T04:22:45.223104,14.45561077,.00447678,74.0275,256.5750,257.8143,166.2365,0,U,33848,999,91405,.32045436E-3,.1117E-4,0
COSMOS 2251 DEB,1993-036CV,2026-08-17T08:39:09.508608,14.24030528,.01141448,73.8031,10.0106,357.0534,29.5407,0,U,33892,999,90479,.222469E-3,.519E-5,0
COSMOS 2251 DEB,1993-036CX,2026-08-17T10:17:33.713088,13.21909493,.05693164,73.7686,325.7454,210.0053,146.7260,0,U,33894,999,83980,.19514757E-2,.1886E-4,0
COSMOS 2251 DEB,1993-036CZ,2026-08-17T12:54:56.261088,14.19671508,.01246946,73.7653,66.5240,200.7413,189.2825,0,U,33896,999,90256,.28417067E-3,.622E-5,0
COSMOS 2251 DEB,1993-036DC,2026-08-17T06:28:54.105024,14.62903960,.00571619,74.0539,332.1985,329.5891,59.2401,0,U,33899,999,92457,.27416909E-3,.1404E-4,0
COSMOS 2251 DEB,1993-036DD,2026-08-17T03:34:26.516928,14.59229538,.00486163,74.0152,248.0898,335.1612,96.1848,0,U,33900,999,92644,.1665487E-3,.767E-5,0
COSMOS 2251 DEB,1993-036DJ,2026-08-17T10:13:44.526720,14.36170076,.00550777,73.8840,217.8806,52.9935,98.4728,0,U,33905,999,91242,.33080097E-3,.954E-5,0
COSMOS 2251 DEB,1993-036DK,2026-08-17T09:48:01.013184,14.60501275,.00342088,74.0273,209.3287,190.8215,322.6575,0,U,33906,999,91620,.79049009E-3,.3838E-4,0
COSMOS 2251 DEB,1993-036DL,2026-08-17T14:48:36.281376,14.33165278,.01168508,74.0682,302.2773,298.1661,214.5254,0,U,33907,999,90128,.93943167E-3,.2757E-4,0
COSMOS 2251 DEB,1993-036DM,2026-08-17T03:09:36.453888,14.09018901,.0218378,73.8363,126.0559,105.1311,257.4095,0,U,33908,999,88956,.75110204E-3,.1598E-4,0
COSMOS 2251 DEB,1993-036DQ,2026-08-16T21:38:01.078368,14.80624728,.00101327,74.0894,38.0195,262.7793,247.5897,0,U,33911,999,92296,.85539857E-3,.6546E-4,0
COSMOS 2251 DEB,1993-036DR,2026-08-17T01:17:12.088896,14.53222412,.00106486,74.0318,83.2560,106.3145,45.5356,0,U,33912,999,92024,.31315772E-3,.1271E-4,0
COSMOS 2251 DEB,1993-036DS,2026-08-17T13:43:33.913920,14.49347029,.0046894,74.0320,78.9340,121.0058,268.8162,0,U,33913,999,92047,.2453559E-3,.922E-5,0
COSMOS 2251 DEB,1993-036DT,2026-08-17T12:36:19.267200,13.72265286,.03040115,74.0917,326.5967,11.7513,3.4887,0,U,33914,999,87480,.11395181E-3,.123E-5,0
COSMOS 2251 DEB,1993-036DU,2026-08-17T04:17:32.639136,14.35677269,.01068486,74.0430,300.3692,331.3749,56.4423,0,U,33915,999,91308,.16949748E-3,.494E-5,0
COSMOS 2251 DEB,1993-036DV,2026-08-17T06:54:03.873312,13.68806503,.03235217,74.0535,353.7827,110.6764,264.8608,0,U,33916,999,87278,.14598352E-3,.162E-5,0
COSMOS 2251 DEB,1993-036DW,2026-08-17T00:26:19.283136,13.69951580,.03334441,74.1037,76.6897,119.1659,244.3260,0,U,33917,999,87119,.63343325E-3,.803E-5,0
COSMOS 2251 DEB,1993-036DZ,2026-08-17T07:20:00.817728,14.61546209,.00316034,74.0593,186.5524,137.9566,222.4034,0,U,33920,999,91728,.75925562E-3,.3768E-4,0
COSMOS 2251 DEB,1993-036EB,2026-08-17T10:49:40.747584,14.50192392,.00220739,74.0462,42.9877,90.7597,296.2691,0,U,33922,999,92168,.19242583E-3,.723E-5,0
COSMOS 2251 DEB,1993-036ED,2026-08-17T09:46:20.678592,13.50511267,.0402707,73.9099,232.0026,222.5081,134.4194,0,U,33924,999,86082,.27585342E-3,.27E-5,0
COSMOS 2251 DEB,1993-036EH,2026-08-17T05:40:34.976352,14.47871938,.00601918,73.9259,306.3832,188.7629,171.2485,0,U,33928,999,92226,.11147514E-3,.393E-5,0
