OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092RU,2026-08-17T06:02:44.572992,15.48143518,.00163058,82.5648,164.2904,38.9505,321.2916,0,U,50032,999,26430,.69114189E-4,.369E-4,0
COSMOS 1408 DEB,1982-092SW,2026-08-17T06:36:18.698688,15.90016900,.00056952,82.6078,165.7621,195.2875,164.8227,0,U,50058,999,26701,.25937997E-3,.77618E-3,.932563E-6
COSMOS 1408 DEB,1982-092ALR,2026-08-17T06:15:48.279744,15.73863544,.00144179,82.5660,173.1829,315.0279,44.9816,0,U,50621,999,26121,.2659282E-3,.37908E-3,0
